sequence,source,destination,domain,length,info
56,213.166.53.222,33.29.184.204,wsj.com,572,c56a86e954faa3987db4c9cc80b394ddaeda48b0cb27228892b5f010da47e75b
30,145.181.173.254,158.10.140.147,nbcnews.com,317,292532ebe833c5fd79f2696ccd70a40fa600a1a32079fc4796338f5d8355db06
87,177.207.138.108,64.59.187.88,walmart.com,570,150bea5be46f53022d66e5ed32255465ec56c41ffb079645a540e8555246962b
96,136.191.213.103,219.78.96.7,4shared.com,1079,0c576e990c0ca6e92686bc76b2b4b87ae69734d842765db4647ad2d0826edcfd
43,74.177.161.43,175.106.142.11,so-net.ne.jp,142,07b977e8764fbf28b76a04b7613b37ad4367430a6af5e44ebd05047ba5b25dce
45,146.79.3.163,232.246.49.1,homestead.com,934,b1ae9e6ed2617e5ac35f3bebea2e77ec0f1bb8776eca8fa6f8f47f090288e148
32,238.230.20.122,106.84.21.89,goo.gl,410,9c8bcbc4034083802ba03a0737602841f7fc249927bb6ca072dcf217992d33fe
91,211.113.78.208,15.228.200.253,noaa.gov,141,291f11f3632c31f72a1f24ab4f63735526e3c1c55df60ba489fcb7383ff0aebf
70,161.72.149.60,77.206.226.136,webs.com,1209,ffc718973cb81c78be21b6b9a9384affc55cf956980c692a4775c5c75f64a491
84,210.74.197.183,195.65.158.37,slideshare.net,783,1a16861d15686c5064eff3011d831132c1d010993f30287590ed8a9360957630
30,145.81.171.104,57.68.51.61,theatlantic.com,354,fb5b3e49d466802fe782562490779362e86b0c18efffdcf0e427e2653be895b4
27,243.167.85.213,165.243.25.245,comcast.net,230,fbf5d4a95eb7ae4e08e3385467b1da9d7550623e6658ddfa9679ff90f84c4a4c
91,72.213.21.4,106.13.125.7,house.gov,396,f41396b2df33e1e06b8d58e9b880d8b061cb0665a7a3198621681e80906ea5c9
35,143.110.144.252,146.50.76.220,github.com,1263,4c10857c433df964042a39e260faaa04f928151cf4882fb01c4832efe0ddf74c
34,219.21.26.197,200.78.121.25,clickbank.net,838,86f2e0f8ffe5762fbd54d0053d5ecc34893c795ba4faf1ee802a7bf267b3d2b7
65,40.163.81.83,11.85.128.202,gov.uk,1083,8802b4c3d50d55b974a6b8d600bb8e84dba6773b286465956692322a972006e1
45,70.39.161.233,176.127.53.152,myspace.com,1295,db9cf032a1eae9b36cd583078b994294d190f29273e18712c715a4053943559c
52,110.235.216.50,155.31.165.202,livejournal.com,89,087eae3a93189ab2e432ec8cea0890dc7faa32190fcb41c79934e02a550f71bb
19,123.5.201.43,67.15.50.117,usgs.gov,304,605666359492b1a6be294eb28609906aa15a8c5861237b03a0433e9e6bc0bcd1
63,219.82.171.75,79.58.66.254,squarespace.com,1515,d568b462484cccadaab19ac726c79163e72f0442502efa534e77fb8ba66a428b
68,93.163.5.85,190.194.255.205,unicef.org,294,e52413e0a1be379c35c6587ea1f4d4b815aa086a6424f19fc74c38477dc975f1
11,193.12.167.97,111.65.186.187,jiathis.com,1274,3ed1d5fbd71532c020910e821c38591bc29c9efbd3d7c371c6f50c1b8eb38a79
89,186.192.37.115,121.109.145.26,paypal.com,731,bc4fc9dfdadd249a4a5d514656d0b63dbd8923a271f371a601e5496573e3e772
18,174.40.164.37,213.129.210.225,behance.net,754,13ebbc85e8704659038fd5057ed872d7360e527361d46bb4452072cc3371c1af
38,60.219.136.194,81.124.5.75,mlb.com,967,3fa570719a80d6b378d4493a188f05e25c86f7c726c15a6607d599a3ea8e1901
53,9.24.174.128,37.17.212.219,cpanel.net,960,00b4e4d32665229fcc000300f30c6a04194926614c61b124d8c029c3703f7db3
39,38.113.90.4,97.224.226.119,devhub.com,270,227f7ecb01ea9f8460d14e0d390846d7aa5dde78eed8a5d2d466e49e453acd86
1,5.85.244.89,196.45.249.25,cloudflare.com,411,3aa729728cf05c1e410f184dac26648d11dc3d519071d2ed226614241f7232b1
83,26.165.224.157,185.129.171.70,hubpages.com,613,9a9e4fed494ed927fa763468401d1b82dac4542ea97fe80701badf0a5152027e
76,39.83.25.55,85.46.208.177,ucsd.edu,581,c7a834ecf417660cc3b839437d8943ed24ca250ed297457f439351a438e29cc3
21,112.133.194.10,158.10.116.89,purevolume.com,798,e5071444efa4b30426deccaa9508e5cb274522b17cbdf54b9a47811e4ccfc61d
100,172.50.91.74,94.92.173.237,google.pl,299,f0b9fc80684b4649cf3e0d0d96ac911fadc9c8d11ef21c2a56687d8d54ab5537
32,170.122.50.217,136.103.15.27,reference.com,639,a784a9f243e392e3f7f4cb554fd463456c520e2b6ca4e03cb80261e196264977
36,7.1.211.210,76.222.12.53,twitter.com,160,07358896c3f314e17158df5c606a9163d99d211c4e577706dfd1a065e4bc1162
15,121.54.215.74,167.59.168.198,yahoo.com,477,d3dff3dd45907a4e6e5b9fb00b03c55caa9326b34834a57232feb1e70526d352
32,229.142.220.227,135.55.153.26,sakura.ne.jp,929,04f2fe1181181e74b5414202cc5b63221354e525b6f1e6610c03a0f54862dbed
70,210.225.118.114,106.173.39.77,tinyurl.com,145,22ea667f43c8890d2c9313d186895783b4bb4a29f70d21500deb3a0df5aa6625
2,120.45.6.36,238.84.236.26,amazon.co.uk,282,c5ba62170c8a90177e395b0f0df5aace385bdb0b21e0dd01ef0a9ca35cb99155
35,70.165.173.6,29.254.133.161,huffingtonpost.com,432,10ed3890d5075ab78e2fd77183dc859cfe794dca0dc9a0f26e47694ea4616e6a
1,247.177.221.90,228.166.45.189,rakuten.co.jp,696,5fa865ed94e2788e9c85ec761d4099aff288b5a12b055ca89048ca1036dd7c4d
55,230.171.145.157,140.233.136.80,unicef.org,506,35a1418d3aaf6c2c4f2be93182ca9b6840e32195a338d95b8e1adc086f170695
63,136.124.235.164,55.206.22.50,istockphoto.com,1082,b0646a1e19e3ebc3db3f60e11cb3c6ea4545c80900e6cb3361fa091d4630fc4e
18,36.210.28.159,108.170.227.79,stanford.edu,1388,7b11561211b2aa575493b4ec6f9712b4785de77dd3b48f883c845fb034d2f6e5
70,140.195.20.178,110.22.17.177,woothemes.com,1124,9e0e2d7cea7e6c7ac51160a28279cf3af2bf9d15c8ab520438b0870cae476d20
88,104.62.35.23,233.47.235.46,hexun.com,713,b9eb406fd759e887e98c96b3f50457fb9627cd26e2e372656208d849d1caf6e2
40,213.212.74.180,238.130.174.42,friendfeed.com,1251,9301a1c08d2fce85b75a70da051205a1ab17370d46c2b887705a758bd6a55286
90,190.160.75.108,45.179.13.168,paypal.com,1181,57e69dc12f04f5b3128c9090ab677ae9beea00e2734e2f6d8ee48dbe51b2760e
64,116.89.148.14,235.105.254.107,gravatar.com,565,6d5c24f50eccae3125b59e5044306bdcbab901d8841e152b49368ef8eff8d813
15,137.229.204.0,177.94.42.90,com.com,178,727d5ac612c40db774165470db1f317615e6b63ed6a05647daa8dcdcafa94ed9
54,82.249.245.5,160.81.128.153,thetimes.co.uk,116,25c72416dabb7900838877a8dc61fb81ca778f646613e477739a97050cfc9e3c
82,220.146.176.136,180.19.32.250,accuweather.com,407,b95d06f73000893654c6d13cb515a35dab2ab40d277f59580491b50b6a060b4d
22,93.203.76.33,52.155.182.213,last.fm,973,b34a39aaa1caa1fc70ccc6a17c42361977f0d2251cc1db9ca08d631e3a1962c1
62,199.113.229.78,21.112.103.47,clickbank.net,1249,e5e599b2cc22f246252377606799ad6f31156082cc64f47e4398f7e5e09a13ca
33,111.202.9.223,5.246.188.96,answers.com,969,2c34a37c29d19f8c6275b91e5bb9b4f5f2b9e2d449912c28d6a87181dec9da06
15,118.239.246.25,38.191.19.237,spotify.com,57,97f85d971c4c92b3b076041964de2cd705391d640285cf1e18c9f2b455606e9a
40,222.147.165.249,204.165.12.61,godaddy.com,1374,470a3a841b20df699b3c7c0b2974920929a8a2672ef5a5249f0633850a3c3050
74,32.122.85.17,213.161.188.186,oracle.com,1355,0f9a0107622fd81b37a8d4b387ee89743528e7def2faaae180f368be1b88bbed
53,190.195.74.234,131.191.189.251,sina.com.cn,725,b13484df4dc52884083cd5bbd5fe92f7769900d7a51799565c36681b7653f570
68,12.135.115.144,254.134.60.232,artisteer.com,727,432f7d85d5382c30d326b9d46f75f81fe00e208277f5332d68074f386b9bf11e
90,25.239.8.108,156.155.106.114,paypal.com,659,37e87f9bd67696601ac2ab508772b2f061a721f99e4c3a813ead876683bf49d6
65,97.157.116.213,238.179.91.153,cargocollective.com,300,1258c5848c11a7cd53c2076dc9f092c84de88d0b5338036112b2f43a39f4ea3b
16,217.12.42.227,183.71.164.44,google.com.hk,723,61cfe7b56736f5976cfeeb736d260010efad4c0bfe7bc6e0afeef751a04158e2
56,227.105.46.143,177.250.65.62,ustream.tv,930,a594fba45dfb6f418a1d3fb277cf02185cbbbec91470f80283efa2eea4eb1ca0
94,155.240.81.133,191.180.244.239,symantec.com,1020,294ce69e17998aec05a3cb3d8c4ddac0f86035a2b36393edaab15e7a3c310561
77,38.173.163.170,200.1.195.165,sohu.com,1471,d0c82392e4f491a02543508b1c38d1d22db75cc1366469288908530a3d92d3e4
65,106.124.175.40,53.99.31.237,blinklist.com,389,5630e963b3375245c8176e406a9cae0ac1e5cd84ad3e1954d3420431e613ce59
53,56.86.194.72,57.132.193.220,unicef.org,1446,68ffc86f8653cb2b09453f8b690c0c3656d87371a206f6bca245057a2495b90a
100,158.230.149.35,33.169.198.228,ebay.com,1408,b31b99610bbe93fa98f9dcb2a4f6b9e01001732e15ca803d487bd9888a756295
24,238.42.249.220,127.110.182.163,sciencedirect.com,741,acd2a486f979083ade3111d6448a0fb10302faf7099cc303be2793ef7c34c806
16,154.11.12.139,163.91.5.121,sogou.com,1185,b37ff2f9a4b446739d808cb2dcc13315746b4ce142eab5aa64bf38644fb7890d
21,126.21.250.51,15.192.46.43,goo.gl,67,ad186cb10b600827db75df45deb922fe9c02b541da637040a6ce92db7f5be93a
46,8.224.58.9,216.215.43.132,wordpress.org,1502,aa35e30a11ba5364357ee9ce2942983da759a2f205fa1a36398cf685767f2b0a
89,242.106.50.1,144.108.129.106,miitbeian.gov.cn,616,2aae7bfa8be9a5f7bd995773946c6d3e033ea5927d03b85c06c07acd3d6f9b2d
12,97.7.201.147,48.161.85.90,liveinternet.ru,678,a8827a3250e443cf919eee9df3792126a61fa172616800e44e29a3df9915618e
5,38.135.199.0,214.210.250.158,dailymail.co.uk,983,f36c13d6a374a612ff0f52a17abc149b0d5661b70d6f755cfe2d29be907640e8
8,62.188.73.214,90.159.145.100,mayoclinic.com,1098,516b27a713b3a18e82a4c12d87e25091b23e7568de2d2aa9605dc284fb68a50e
53,103.177.236.252,250.181.192.221,canalblog.com,853,ed38e342860c2ddec860d39a0d4cb6e0ae660cf01dec18817ce86db5a51ba124
54,139.67.107.130,200.247.251.20,people.com.cn,1333,c370d10457dce601792a9b8fd7ee913eb6747c4248a5c4259e771664c538f02e
83,80.230.93.50,232.236.199.250,etsy.com,1270,bd15c8ed546b0307b00e79e7c483f009450aef6d43a20ce6f2e2b143818f2361
22,234.40.209.252,249.217.183.101,washington.edu,789,0f09570337ece86a660b8e6ac76c9219a750f5ee7121f2dc5cdd5b600a5776ee
87,97.225.90.115,236.51.47.48,amazon.de,1148,e5fec0ab33c9836a76825d51ff00dd527d14dac974f09c7bce823d97f52840de
18,139.24.173.108,82.50.184.17,cmu.edu,841,d55fa9419be9ed95d6dd55a6df98a1c40419fd2eb83e27ac3447005382b38a46
31,116.166.0.67,80.108.80.79,angelfire.com,454,d15f80ab2916320d1d16e9ef544f42088b6d4a9af811b9a4998f122c8c20d722
72,249.109.128.63,153.28.249.113,dailymail.co.uk,1446,dc68c70bd82a2a120b846f43f49899e63c6d9ee48b43a5bbc0968a025e679eeb
77,199.199.27.76,66.150.231.215,intel.com,571,554a2e96155357aab9a18c20e46371e0a675336c116a6407ba98731a64a86cbb
65,178.78.126.216,150.148.205.234,blog.com,685,f422b7b3af6b5e26fe9708bdfcab2cc048bb98be22c82f277520b0ceb61362b9
3,124.14.22.79,233.140.87.172,sitemeter.com,899,6c0bf3a09c2306be7b63076cd2f3160b386b8d640d9da9d3dec2ec7bb8cfbd7a
1,246.63.40.2,244.75.63.176,noaa.gov,110,ff3618151d16c8b6d39314a75662a407434de39387fc6770e9bc6a41ac441177
22,189.54.127.145,207.38.174.31,reverbnation.com,1499,244c4f6ad3a506f2d7b14376eb41c3d9f3fc93b9408f2edcaf381d7ff4073374
93,179.173.180.237,4.199.133.116,tmall.com,139,3c319c18172e3bb7e070dee3f64bee2bac6d144684d954d9ad6cc4a0b221be94
45,46.5.179.212,75.79.83.96,google.com.br,748,a15c1c36087b3b8f2b6d00fc276bbd331eb6508e5e439137534fb4f4afb5928a
4,99.16.65.232,160.193.198.24,cyberchimps.com,722,ffaece5249a2292bf7deadc4d3f083480553076870130429f311a160fb5b7035
29,114.127.173.81,27.149.123.73,netscape.com,1143,decf1c292809262d7a422cc3450e3aa78fe95cd95081e9e090316fee1e029cf0
85,125.208.102.26,86.94.77.75,yellowbook.com,705,a4ad0844a61e0b11a706dbb909d39d3e4518d16a63a7eea0f22959abcac57764
4,41.174.74.75,205.207.88.31,paginegialle.it,1145,83ffd47490dd6c3ad94207940a73770da53979444ea20168197a01510adf3ea2
3,98.137.149.8,75.20.189.225,admin.ch,289,8cde9ecf5c6225147ef2caa7967081910db76c568eb5fe6163b0166788e731c8
97,75.189.83.85,48.113.55.219,icio.us,144,6e532bc1c7ee71d299dee98ca9f6848396c07b318ca10b0b6fc606fe365ac1fd
8,54.220.79.44,151.10.221.105,bbc.co.uk,88,f6352f9eb76fe6c937806c7644a9659aa2a293880e60fe38dbc23e94aaf472c0
89,158.5.147.98,248.88.107.255,vimeo.com,1278,641bfcb5d4ea093f2fce449f6be82ff4b764f6b74f4006a7a0ea872c8fadde92
78,128.139.163.202,180.123.196.10,so-net.ne.jp,464,811ea8cc97307602e0ed4384d1b2faeef03f6dbad9dd5171aec21a643bc86bf9
19,56.12.74.42,164.225.168.171,seattletimes.com,1200,a3dbb47684979fbbe24b22c6c58c90ed195d465e8dd9df7045736c65a5026433
68,221.172.174.154,111.62.20.77,dion.ne.jp,850,4e37b26352b30249fba50dcc9fd1013cf06a5fd029031330220b1360ad22e0cc
35,134.159.29.63,5.92.20.148,cdbaby.com,588,40504e609fc8db4646176a088ded72bdfd9db9f790bab555b250e1fda10538d0
44,65.80.193.52,88.114.242.5,elegantthemes.com,1154,d569ef8670fc15438360d1a1ea5773bc5e0b70677ad6d21814b5b811999ac546
15,108.96.216.225,85.178.107.118,netlog.com,653,c322991ecd3efe39f2e20b7cf79e1ec31b17915ab4fa9100da188438ddfb06e9
23,225.247.159.119,210.2.170.230,japanpost.jp,803,7b36c1dcfbc1164c8f3c434efbf4047511da3a26dd47956abb386471ddc6fa8c
46,148.88.214.2,239.178.173.160,spotify.com,1490,7e5e50065f58b74349e2352c55cb793bd897c3abc53d109ee8084ef2cf65d1ef
16,247.246.13.19,90.167.99.129,usgs.gov,288,5c3f5be320738f244ad86e42ff798b30171abd5c864cf6a7464e3ada5c169744
73,202.179.68.28,223.92.161.119,bigcartel.com,1120,fc5d3355c2d9d0b385cf6731f2a5863069de1e758168c74a54fa011a9773aa83
12,19.100.66.5,240.206.202.154,imageshack.us,808,a9415068a0dd87127d6921e57c9bacbf3945eba65aa7b61b768d60f975219c95
84,129.184.136.84,243.151.219.214,goo.gl,905,de71f0414343409bf32f12371877c1bc0580aa994e58c8e41a1683725239ff73
87,163.51.200.5,245.237.114.253,telegraph.co.uk,1348,b39e15d01a19ac110176d6094ac0659279f06dde53ed0679cfeb092a3b46803c
58,229.248.93.255,19.180.146.200,rakuten.co.jp,933,6d7d1025c466f346ae87e056e203dcf4284cb291e40edfe66150103f2b5a5a33
61,39.59.136.167,78.82.180.127,istockphoto.com,703,957be1ad41ee17e33f68930a0329da474b6d7d99888aac223f747f8a3f2ec181
42,37.177.119.191,158.80.190.65,addthis.com,1387,6c1dbc22beda6c9a412a5d1385f624b2ad3069fc6c66e9243f208a04ca075fa8
21,33.231.11.141,87.226.164.193,icq.com,321,ed9acdc5af7953d7b8cb806e2b1372055fe44c672c72cdf004580f4c8cdee6cc
53,207.193.107.215,82.182.57.42,ask.com,1140,821d41efb148c4f5fb669423c5e9d18372641824bdbd67e5670ed8b9dd42e07c
87,169.240.187.97,241.35.194.65,mozilla.com,713,342b2661a2838975991945ae9ea65031899f3ac7d016b2c29d90031171d2b9d0
28,171.190.35.108,230.126.174.68,smh.com.au,643,2071026b62ad98eec35a2ce9c576b473fab14bafa4e838acba9a3c9f07ab4e5c
6,219.216.145.157,243.73.27.218,slideshare.net,913,1ea0a3b0bccc8a402d94057e443f37fcd2c610337edd297c51d8785acfd0eee9
75,106.238.138.56,76.248.53.233,google.com.au,152,2f1bf84f82a0bd59f5f5efa159f6b4c8f7af3efa17ffa1110da3bc64dcf4382b
60,201.247.162.184,154.78.196.29,addtoany.com,666,68afd98326e24ba4239ce52d5cea845e9bb33597a221e067ab9d957ccf117f09
22,224.204.193.110,247.175.148.31,friendfeed.com,547,6cc83a78749f32a1f365b4932ee3b6294166c14c34eccc2ac7b29721a89b922a
79,14.139.15.32,249.68.63.147,narod.ru,1379,5528cd7c8b7a46b43aea694b8a35e0cbe752ce6087339b8570fe61dbac967840
4,55.10.3.192,122.179.214.131,yellowpages.com,281,40b4620d06592515451ac0a4b95b54d26454dcee57f04016acc06ff8bab7a3cb
13,111.83.88.33,214.250.17.142,columbia.edu,1037,2300b353cf9088adf3f63f5e734e5a1e500c60c9e3e20f3cde49d43fb75f3406
9,34.254.20.34,62.239.228.78,wp.com,1102,8ad7df06d4c7f52783f6bb3ed2b3aabb84ee0a4cf9dec67928cd6c7f21ef67a9
20,66.235.231.113,24.34.30.18,nationalgeographic.com,218,cbdabdb944fbc93d6cfd461acf0725c04b8355ecd4310efbf85149b6b001b29d
80,63.201.192.68,0.72.254.241,soundcloud.com,1175,5e54ca01e24e2502cfc868fa4bcc5898dcae8185252f32056d3e5119d8ead4d8
87,56.15.246.0,198.109.197.69,ucoz.com,970,b02433801a653718bb7201579dab59deec2ac4d862d3c29ee2c5872c128e21c8
52,46.187.254.114,242.148.53.180,qq.com,1476,384387578a1e4d9e814f7a51860f82d1609fa591cbfef8f599c163aecc6ce2f8
59,232.91.105.161,183.181.113.195,usa.gov,158,f527eff32bce6062b867da8725c889a2d29f28c54f43d01387526f51c3a4c2c3
84,53.105.8.190,248.89.244.7,smugmug.com,1148,279ea5f4d8d8a914ff3d18e36290d108e15a73c45a5bbf6c1a4e7665461ce317
40,96.69.72.169,41.163.164.112,salon.com,536,64a8ac07f57ca41b241fb3fe276d93edfbc74b593e1f292e62b0245f6301ae70
65,242.40.135.74,32.93.254.79,360.cn,336,b64cd1c8ef68b254b6ebccc36b427fc86e0aed4b8a46b9e56619e1ea23cf2462
96,245.101.172.82,229.114.208.163,patch.com,527,9601afd816a9fef9b9e276fc80b536a9bef972a2db126ecbb66a99e6b0f3b173
76,216.60.36.136,205.8.62.167,wikia.com,689,924630935fff72307846462e7714737d7c939880b5646c91027903883aaa619a
27,10.245.85.221,14.38.121.84,spiegel.de,1041,cfebe41cd63a852bb6415740a9d6a7841b273f08213d60b66e8fbe36fb594b6f
5,75.196.66.18,160.79.134.174,sfgate.com,1498,b8daf59260980fb7e6bb66f18668bc7fc1a0f9b657c34f10f7439e268723d0cf
73,248.61.62.184,185.17.145.39,naver.com,1343,a5f298f45528d6665da6e2023e7d058aadcea1c99c0a5306e4781457724ced4d
92,143.58.206.247,125.91.28.105,salon.com,280,c686d21c84c97c88b0d252b2ca2a9c8321c0f9976d9527785dd4ff2e3759d480
51,184.55.163.213,167.113.144.196,cocolog-nifty.com,426,1f7bb2c3bcf9c730a0878fd56aec81984c9dc2a883e3bd88d33b921eb37312e7
46,169.61.174.135,7.74.45.127,cbsnews.com,380,e22f0fd406234d493ae2d7d117955313af1eaa2820b7b8c9b7c3b5a31cf5e67e
99,3.41.221.57,43.244.20.194,w3.org,395,83cb8ca0170221b34016f96bf314b9cd6f054de26ca08d65fefcb7b4eb58eeab
78,26.55.107.95,91.66.244.136,bloglines.com,1287,7f084367b0e0e35eeba9718e1ef9fb0605302dd5008a6fe8dd7512b5ec729c1e
99,136.237.74.106,194.2.198.57,imageshack.us,263,9fbbfdf70662a95686d55f0b1ccbf00fa2dde5c83361d22868c6aab4082e9658
85,55.141.15.255,160.190.31.253,nih.gov,1416,18971f1d6e570098ced1fbcc0fd98da83b7c1c42acafe80dc7d17755fc62f562
7,37.156.185.200,225.187.248.27,blogger.com,739,572086c0e94fcd21c9d0894981d7a170ad072679cec50b484acb935ff146501d
40,20.41.106.100,241.44.16.173,cdbaby.com,1017,78beb15ccd5e777a187e8add68f2e350f61e1175ad1ae78a54d0faa3c64fbdc0
25,128.24.102.45,240.82.221.255,facebook.com,342,7b1ebb0e61d5e3053f1040d9262d1311e06a349265364b6687957af2e1bef2e4
92,44.223.115.26,71.135.50.246,weebly.com,988,8193efb7d606645960d56ad4736681b31ace19d72e84f07e471da89ff369e238
100,200.2.61.3,118.159.152.112,answers.com,92,a1abfb560b4345f1e41cb7f80494d00e4abb393b8b25322eae337ea8977cdb75
90,113.114.130.189,196.22.146.133,comcast.net,1141,bf5cef7b83e90268ea230ce69f9ebf9e713d9e5a8020f55a3374947d6513e84f
64,37.139.30.93,22.233.2.94,mysql.com,997,f6f66de08c455e80c6c93eef13f97ee75f7be3aa1a5f8238a2e8299206b50d88
52,36.45.17.182,214.219.88.209,nationalgeographic.com,699,7a9fad262838e3e6fc09c8e2c76d6b0f9ed963ff6ba2c9fc46cc818cc424de40
6,252.186.126.111,138.103.205.181,skyrock.com,410,1e1bb8688500a897df4af23e83eb28d9d44dd9384bbcdb01ffae8b07d03b970f
65,168.39.140.19,94.128.38.220,exblog.jp,851,6bc80c7512da17fd976b5557234edec0f576adab5e6bf80ee9398b32534a6b63
64,87.150.41.58,19.226.247.36,pinterest.com,526,6991e021e4ee507b79f65e61aa0c6974ad0ff60b88e9f2f69e8706122bedc693
33,135.25.54.179,40.79.97.6,booking.com,836,4db3caee4c961d4ab5f1d4f104c7e64538a31f2c56946ffc658c21df0b100fea
99,157.129.245.32,244.13.252.224,buzzfeed.com,1230,b9146d00d9d2cf051a0b02f069441f5c686392ce426e0cee11797e5e0f54d204
90,68.11.15.52,28.236.132.255,sfgate.com,1067,ee8b01e211e9d427e42df5cd07f058f8a24190d3b7bac890ea01141fcc2ed8c0
7,81.115.48.31,143.49.181.128,comcast.net,936,73644e021d8fbf77bdeaf594ffd00b8a5e58960af2fcf670887fe0464d3aa01d
60,84.69.117.200,24.206.187.5,eventbrite.com,323,e43ff56bf642fc1ce9024d814ec481ac22a85834c9f90a8e2a43fc2ec48a1f0c
60,88.165.89.68,244.54.104.102,state.tx.us,747,fa9c5168756b76d98a59c2bdaac714328e3637a661ff96d6eef662fdda9e0a91
39,115.161.77.216,186.61.136.71,tripod.com,419,f5b70cd09d8e6dcbadaa775b0c6617266c220f81a09db30107869bd5be6ed487
76,38.208.50.62,160.56.172.195,nasa.gov,1334,4342dd10ede70c4dcfce54fa369e6a910b45aee59547c2f400b7c8116db33ac2
14,183.202.234.163,30.251.131.153,wikispaces.com,964,c77ee01a658118727a622a8e012276e83cd922b2b2b44d72f070bb69bd1e3ad6
37,194.209.6.80,123.247.8.75,biblegateway.com,100,41c6c12c4ffd9071b8a6ba33d536068084a2ed90a9a99e795d78456f900898bf
78,71.29.106.81,97.41.172.215,linkedin.com,607,ac299d382f7e4ab1135bf481ba82e5d4f42c49a4de6539428d27410a2091abe2
31,241.96.20.202,21.206.159.123,artisteer.com,428,29d0d20002ad70121a9213b020da5da853e1c6cd08beb4636ac6af74c6c0c0cf
45,49.112.32.104,165.64.3.162,photobucket.com,124,f3fdaf35c3e4f9f5b3ba7f47c23ddb15da4da2c948943df7dc416b420944f0ec
94,184.124.27.93,202.194.36.80,indiegogo.com,173,7796dee8d602475f61156cd0f17a017c43c2295a8e6b30345cb39ffc2743269e
67,84.38.53.225,88.164.182.70,examiner.com,153,20db9eeb30c73227eb64f0d6b533847944be82d3c4a5d4dc9b8f8656e3bc537b
100,45.179.186.125,228.232.174.69,ftc.gov,86,6db7a853a4aa898a5dd36cdf766aa12122f118a360d346987f8b53a4ffb50efc
93,226.47.215.226,250.120.235.5,cbsnews.com,726,7cd20348567be20ac38b9dd335b9390d753b8a6d17f150eef4b59d87db800244
57,248.164.242.146,189.75.50.30,google.it,525,3cd4a22a5f35cff785a8f9d3295616579ebb053354f142817c151a6d51025ba7
74,149.61.217.255,51.118.250.40,baidu.com,1413,9b1697c45cae2424ad2e6020a1727cbf5f75f4a0fee5e5ee37f4420753374aae
78,227.15.218.174,223.7.77.207,cbc.ca,223,387f02a7d02147bcc898fbb3b37965fc0ced85b7751a41700985660aa8280b14
82,92.40.219.96,6.9.112.126,friendfeed.com,1355,4d7205c2cf801cae560843200505c35e0c95f6d1fd6bb70e38cea7a40a03a6bf
15,199.84.38.101,236.248.195.117,go.com,576,7cc681dc9a2a5636fe991089f37aaee8d0b5c457149d125b4586ee16efa87ec7
39,15.192.189.17,77.90.8.185,ox.ac.uk,913,98f7f11bf5b0bd922b09e1d310d149a22ab4e95db7b645c33c81f73d8e008722
34,35.184.216.156,113.91.109.9,dell.com,386,28f6acc96830180d73d1d84662bc376de3f4b01bb0d6c977b90197fb1b44a19a
26,139.105.186.14,163.247.159.29,globo.com,198,f06948b361770de096b00fcb68801b7dbd0a82e4f46e51eae29a56ab98760e1d
50,87.178.13.109,148.1.38.9,rakuten.co.jp,890,4d5a47d32378b97cfc080a0a05a7cfbe8329391d1106bbf6f4b8b7dcf2d0f813
36,108.236.15.128,202.36.103.143,canalblog.com,1295,5edc09d904803d5c9213e555113de9c2ec44c2a147db1d73e5121064297deec9
63,48.120.145.218,6.215.179.87,1688.com,287,d4c64c0ca30f9278b9ad3c6a82c3a00f285ca02283f3a58b34bea919586f1e67
39,194.112.61.38,217.169.135.52,bizjournals.com,1153,8f88cfff3e9b0f048b9ea962d39343115a1b2d98783ae19ea49e708f53ef487d
25,200.38.64.188,242.149.92.98,dyndns.org,255,5f30f152767a4c7a8f0684c91e005abb1035f3ed164e507d5b0ef2c9d44623db
50,7.186.55.79,21.154.244.95,mediafire.com,1437,f8bbe0e90ce0f56e28928e446f06f62ce43ce236f92f3d9400a38dcb01a9270a
58,136.41.217.54,100.139.119.143,so-net.ne.jp,507,03ae8937c82d11d2ceac217db3f657cf0a80b11404942c24eb2873f028f5d51d
90,78.16.7.43,248.167.4.241,csmonitor.com,1258,511cac464cf29bd650b60b2ae59fb6666b31c5f1a08c2c59600b562e20412614
64,158.253.112.55,161.157.246.158,nyu.edu,823,779d270e2a5b7d71aa4fbb54bf17c6a92e13abff7d82de242c10038af7a3d0ab
73,46.230.190.246,26.93.94.36,lycos.com,331,8217fb569a95aa5f93fdbe8a488678e4ef9abc75de58ac9bafc6d9ec508ffeea
81,58.58.84.74,232.53.128.40,4shared.com,351,d069d8d5192b6b062915bce1b479e2590bc7f60d958160affb16f0d8d3cc6b34
66,204.131.38.31,254.153.154.123,lycos.com,552,a2c1e15d3e6a718ea724c374c7e4f04fccb9a7debf8efbb75df0bf2554b28573
83,197.63.219.66,46.13.56.103,a8.net,1447,44f4b816796556d58296b936985cd6d04492f161518c9f10af58cc63b906f20f
29,49.44.243.248,228.124.35.151,independent.co.uk,265,7f87bc82f0f6c4a1a750da05096393d7ab17cb116f73e38fa214cbcc78541e03
59,177.228.124.201,76.19.22.81,state.tx.us,49,ba322b80b5e1b0f0666064e9e5f0414c4a325d5be0a20febc5442f3f3ac25586
67,21.21.190.182,249.124.176.231,delicious.com,487,94807440343536ab244e4c80ca6a06b44b159009b403b75d22059195e8323292
